cip2020_title,score,band,employment_weighted_openings,employment_weighted_growth_pct,completions_latest_year,pct_completions_latest_year,pct_employment_weighted_openings,pct_completions_trend_pct,pct_employment_weighted_growth_pct,pct_bls_top30_flag,in_bls_top30_flag,is_finalist,proposed_name
Executive/Career Coaching,67.3,Test,61.35,6.80,29.0,37.7,77.1,76.2,76.3,100.0,t,f,
"Hospitality Administration/Management, General",67.2,Test,34.23,6.18,784.0,85.4,67.1,68.3,74.5,0.0,f,f,
Medical Science/Scientist,67.2,Test,8.81,7.18,689.0,83.8,33.3,69.3,78.0,100.0,t,f,
"Computer Software and Media Applications, Other",67.1,Test,,,374.0,77.4,,91.3,,0.0,f,f,
Political Economy,67.1,Test,102.11,4.46,8.0,21.5,91.3,92.9,62.2,100.0,t,f,
Terrorism and Counterterrorism Operations,67.0,Test,87.33,4.05,46.0,44.4,84.5,65.6,56.4,100.0,t,f,
"Social Sciences, General",67.0,Test,87.04,1.69,400.0,78.5,83.9,28.4,26.9,100.0,t,f,
"Allied Health Diagnostic, Intervention, and Treatment Professions, Other",66.9,Test,22.13,12.68,48.0,45.3,59.0,83.1,87.5,100.0,t,f,
"Public Relations, Advertising, and Applied Communication",66.8,Test,19.94,4.71,802.0,85.6,54.1,98.9,66.8,0.0,f,f,
"Sales, Distribution, and Marketing Operations, General",66.6,Test,107.02,0.69,503.0,80.9,94.1,76.0,18.2,0.0,f,f,
Computer Software Technology/Technician,66.6,Test,98.49,13.91,10.0,24.2,89.2,61.2,89.2,100.0,t,f,
Clinical and Industrial Drug Development,66.4,Test,20.38,9.21,166.0,66.1,55.0,51.2,82.9,100.0,t,f,
Programs for Foreign Lawyers,66.3,Test,31.50,4.10,1560.0,91.1,66.4,70.6,56.6,0.0,f,f,
"Sports, Kinesiology, and Physical Education/Fitness, General",66.2,Test,57.95,9.30,936.0,87.2,74.5,35.2,82.9,0.0,f,f,
Data Visualization,66.2,Test,75.58,11.98,17.0,30.9,80.3,66.5,86.0,100.0,t,f,
"Organizational Communication, General",66.1,Test,33.31,8.69,336.0,75.5,66.9,73.8,82.2,0.0,f,f,
Knowledge Management,66.1,Test,52.32,14.58,59.0,48.5,70.9,43.6,91.5,100.0,t,f,
Medical/Health Management and Clinical Assistant/Specialist,66.0,Test,120.92,4.11,12.0,26.9,95.5,71.2,57.0,100.0,t,f,
Dance Therapy/Therapist,65.9,Test,23.62,16.36,44.0,43.9,60.2,70.1,94.2,100.0,t,f,
Epidemiology and Biostatistics,65.7,Test,19.95,11.96,91.0,55.4,54.5,,85.9,100.0,t,f,
Medical Radiologic Technology/Science - Radiation Therapist,65.7,Test,19.11,9.94,94.0,56.0,52.9,70.2,83.6,100.0,t,f,
Linguistics and Computer Science,65.6,Test,100.03,17.40,7.0,20.2,90.7,51.5,97.3,100.0,t,f,
Gerontology,65.4,Test,19.47,12.87,266.0,72.2,53.4,30.3,87.9,100.0,t,f,
"Computer and Information Sciences,  Other",65.3,Test,3.36,12.12,680.0,83.7,11.0,92.9,86.4,100.0,t,f,
Pharmacy Administration and Pharmacy Policy and Regulatory Affairs,65.2,Test,51.01,21.31,105.0,58.5,70.7,11.0,98.6,100.0,t,f,
Risk Management,65.1,Test,257.41,6.13,3.0,14.1,99.8,,74.2,100.0,t,f,
Occupational and Environmental Health Nursing,65.1,Test,171.31,8.15,8.0,21.5,97.3,50.6,79.4,100.0,t,f,
"Aeronautics/Aviation/Aerospace Science and Technology, General",65.0,Test,18.50,6.10,707.0,84.2,51.2,88.9,73.9,0.0,f,f,
"Rehabilitation and Therapeutic Professions, Other",65.0,Test,23.62,16.36,165.0,65.9,60.2,20.3,94.2,100.0,t,f,
Health Occupations Teacher Education,65.0,Test,33.17,3.66,75.0,52.2,66.8,79.9,48.9,100.0,t,f,
American/U.S. Law/Legal Studies/Jurisprudence,64.9,Test,30.53,4.04,699.0,84.0,64.7,80.5,55.0,0.0,f,f,
Architectural and Building Sciences/Technology,64.8,Test,12.54,3.84,4482.0,96.4,44.5,99.1,51.2,0.0,f,f,
"Biomathematics, Bioinformatics, and Computational Biology, Other",64.8,Test,16.81,21.88,47.0,44.6,49.5,78.0,99.2,100.0,t,f,
Industrial Engineering,64.6,Test,19.94,6.37,2811.0,94.2,54.1,58.8,75.0,0.0,f,f,
"Communication Disorders Sciences and Services, Other",64.6,Test,21.18,16.18,95.0,56.1,57.2,43.5,93.8,100.0,t,f,
"Political Science and Government, Other",64.6,Test,87.67,1.75,113.0,59.9,84.8,46.2,28.5,100.0,t,f,
Foodservice Systems Administration/Management,64.5,Test,133.12,5.15,6.0,18.9,96.1,62.7,70.4,100.0,t,f,
"Economics, General",64.4,Test,87.08,1.79,400.0,78.5,84.0,8.4,29.2,100.0,t,f,
Public Finance,64.4,Test,55.87,11.60,20.0,32.9,73.7,,85.0,100.0,t,f,
Dental Public Health and Education,64.2,Test,23.11,14.50,16.0,30.1,60.0,89.8,91.3,100.0,t,f,
Molecular Pharmacology,64.2,Test,20.93,14.17,29.0,37.7,55.8,84.7,89.7,100.0,t,f,
Human Resources Development,64.1,Test,43.90,10.80,819.0,85.6,69.1,33.7,84.4,0.0,f,f,
"Economics, Other",64.1,Test,104.12,4.43,49.0,45.7,92.4,22.7,61.6,100.0,t,f,
Neuropharmacology,64.1,Test,20.93,14.17,35.0,40.2,55.8,79.0,89.7,100.0,t,f,
Endodontics/Endodontology,64.0,Test,26.79,16.92,36.0,41.0,62.3,57.5,95.6,100.0,t,f,
History and Philosophy of Science and Technology,64.0,Test,97.93,4.36,35.0,40.2,88.8,42.1,60.2,100.0,t,f,
"Engineering/Engineering-Related Technologies/Technicians, Other",64.0,Test,,,336.0,75.5,,83.5,,0.0,f,f,
Blood Bank Technology Specialist,64.0,Test,27.40,17.30,10.0,24.2,63.2,89.1,96.4,100.0,t,f,
Tourism and Travel Services Management,63.9,Test,104.77,4.54,54.0,47.5,93.0,12.5,65.5,100.0,t,f,
Marketing Research,63.9,Test,66.75,6.60,66.0,50.1,78.6,26.2,75.6,100.0,t,f,
Clinical Child Psychology,63.8,Test,97.51,4.84,26.0,36.4,88.1,41.1,68.3,100.0,t,f,
Histologic Technology/Histotechnologist,63.8,Test,27.40,17.30,11.0,25.5,63.2,84.8,96.4,100.0,t,f,
Advanced General Dentistry,63.8,Test,20.13,13.21,27.0,36.6,54.7,88.1,88.1,100.0,t,f,
"Health Services/Allied Health/Health Sciences, General",63.8,Test,,,902.0,86.6,,60.6,,0.0,f,f,
Therapeutic Recreation/Recreational Therapy,63.7,Test,26.03,16.56,58.0,48.3,61.8,42.9,95.0,100.0,t,f,
"Health/Medical Preparatory Programs, Other",63.7,Test,,,258.0,71.8,,90.1,,0.0,f,f,
Environmental Studies,63.6,Test,28.40,3.24,1527.0,90.9,64.2,70.6,43.4,0.0,f,f,
Patient Safety and Healthcare Quality,63.5,Test,45.42,15.53,45.0,44.3,69.5,35.9,93.0,100.0,t,f,
Pharmacy,63.5,Test,41.07,16.80,27.0,36.6,68.0,52.1,95.4,100.0,t,f,
Forensic Anthropology,63.5,Test,94.72,5.07,10.0,24.2,86.1,66.0,70.2,100.0,t,f,
"Biomedical Sciences, General",63.4,Test,8.59,7.04,4033.0,96.2,33.1,85.9,77.9,0.0,f,f,
Electrical and Computer Engineering,63.4,Test,12.08,4.48,1053.0,88.4,43.3,94.9,64.2,0.0,f,f,
"Construction Management, General",63.4,Test,46.80,8.70,310.0,74.3,69.7,52.6,82.3,0.0,f,f,
Surgical Technology/Technologist,63.3,Test,20.41,13.15,32.0,39.4,55.1,78.5,88.0,100.0,t,f,
Performance and Sport Psychology,63.3,Test,31.95,5.76,179.0,67.4,66.6,81.2,72.9,0.0,f,f,
Early Childhood Education and Teaching,63.3,Test,79.87,-0.36,3437.0,95.2,82.4,52.4,14.2,0.0,f,f,
Comparative Psychology,63.2,Test,99.02,4.46,9.0,22.9,89.6,67.4,62.2,100.0,t,f,
"Health Professions and Related Clinical Sciences, Other",63.2,Test,,,954.0,87.5,,56.9,,0.0,f,f,
Occupational Safety and Health Technology/Technician,63.0,Test,14.90,12.50,737.0,84.7,47.6,68.2,87.1,0.0,f,f,
"Mathematics and Statistics, Other",62.7,Test,16.87,21.41,61.0,48.9,49.6,55.7,98.7,100.0,t,f,
Medicinal and Pharmaceutical Chemistry,62.7,Test,18.59,12.69,72.0,51.7,51.5,57.5,87.6,100.0,t,f,
"Legal Research and Advanced Professional Studies, Other",62.6,Test,30.53,4.04,822.0,85.8,64.7,61.4,55.0,0.0,f,f,
Social Entrepreneurship,62.5,Test,241.85,4.42,3.0,14.1,99.2,,60.9,100.0,t,f,
Biomechanics,62.4,Test,18.96,13.30,19.0,32.3,52.4,91.5,88.3,100.0,t,f,
"Restaurant, Culinary, and Catering Management/Manager",62.4,Test,137.71,6.20,1.0,10.0,96.3,,74.5,100.0,t,f,
Real Estate,62.3,Test,34.72,3.36,1079.0,88.6,67.2,59.6,43.9,0.0,f,f,
"Physiology, Pathology, and Related Sciences, Other",62.2,Test,20.93,14.17,27.0,36.6,55.8,73.3,89.7,100.0,t,f,
Comparative and Laboratory Animal Medicine,62.1,Test,21.79,15.53,49.0,45.7,58.2,46.3,93.0,100.0,t,f,
Bioengineering and Biomedical Engineering,62.1,Test,11.64,4.67,3716.0,95.6,41.7,72.7,66.6,0.0,f,f,
Systems Engineering,62.0,Test,18.56,6.93,2163.0,93.1,51.4,46.9,77.6,0.0,f,f,
Occupational Therapist Assistant,61.9,Test,24.47,17.58,32.0,39.4,61.0,48.1,97.4,100.0,t,f,
Counselor Education/School Counseling and Guidance Services,61.9,Test,31.00,3.50,11025.0,98.7,66.2,37.2,45.7,0.0,f,f,
"Clinical, Hospital, and Managed Care Pharmacy",61.9,Test,41.07,16.80,10.0,24.2,68.0,66.0,95.4,100.0,t,f,
Business/Managerial Economics,61.8,Test,91.72,8.56,37.0,41.8,86.0,7.5,82.0,100.0,t,f,
Culinary Arts/Chef Training,61.5,Test,206.90,10.60,0.0,0.0,98.8,,84.1,100.0,t,f,
Physical and Biological Anthropology,61.4,Test,105.50,4.49,11.0,25.5,93.4,40.5,64.3,100.0,t,f,
Consumer Merchandising/Retailing Management,61.3,Test,97.43,0.69,18.0,31.6,88.0,84.4,18.2,100.0,t,f,
"Veterinary Preventive Medicine, Epidemiology, and Public Health",61.3,Test,21.63,15.46,25.0,36.0,57.6,62.1,92.4,100.0,t,f,
Exercise Physiology and Kinesiology,61.2,Test,7.77,8.41,1164.0,89.5,28.5,90.3,81.8,0.0,f,f,
Child Development,61.2,Test,121.99,-0.23,296.0,73.3,95.6,55.9,14.4,0.0,f,f,
"Criminal Justice and Corrections, General",61.2,Test,79.13,2.13,27.0,36.6,82.3,70.5,33.2,100.0,t,f,
"Civil Engineering, General",61.0,Test,18.99,4.84,4565.0,96.5,52.5,40.4,68.3,0.0,f,f,
"Rehabilitation and Therapeutic Professions, General",61.0,Test,23.62,16.36,19.0,32.3,60.2,,94.2,100.0,t,f,
Environmental Science,60.9,Test,27.18,3.30,1238.0,90.1,63.0,56.0,43.6,0.0,f,f,
Hematology Technology/Technician,60.6,Test,27.40,17.30,8.0,21.5,63.2,71.2,96.4,100.0,t,f,
Cytogenetics/Genetics/Clinical Genetics Technology/Technologist,60.6,Test,27.40,17.30,12.0,26.9,63.2,,96.4,100.0,t,f,
Adult and Continuing Education and Teaching,60.5,Test,45.54,6.44,642.0,83.3,69.6,22.5,75.3,0.0,f,f,
"Computer Engineering, Other",60.5,Test,11.98,7.57,243.0,71.3,43.1,96.1,78.4,0.0,f,f,
"International Business, Trade, and Tax Law",60.5,Test,30.53,4.04,288.0,72.9,64.7,73.2,55.0,0.0,f,f,
International Economics,60.4,Test,104.12,4.43,35.0,40.2,92.4,9.1,61.6,100.0,t,f,
Survey Research/Methodology,60.3,Test,100.80,4.32,5.0,17.3,90.8,,59.0,100.0,t,f,
"Mechatronics, Robotics, and Automation Engineering",60.3,Test,11.30,3.67,1016.0,88.1,39.2,98.2,49.2,0.0,f,f,
"Family Resource Management Studies, General",60.3,Test,23.04,9.10,157.0,65.4,59.7,68.9,82.8,0.0,f,f,
Periodontics/Periodontology,60.2,Test,26.79,16.92,35.0,40.2,62.3,34.3,95.6,100.0,t,f,
Health Law,60.2,Test,30.53,4.04,301.0,74.0,64.7,69.2,55.0,0.0,f,f,
Speech Communication and Rhetoric,60.2,Test,20.73,4.53,1960.0,92.5,55.5,40.1,65.3,0.0,f,f,
"Biology/Biological Sciences, General",60.2,Test,57.82,-0.84,3727.0,95.7,74.4,47.8,13.3,0.0,f,f,
"Human Services, General",60.1,Test,36.01,6.13,842.0,86.0,67.6,19.5,74.2,0.0,f,f,
"Multi-/Interdisciplinary Studies, Other",60.1,Test,,,2025.0,92.7,,35.1,,0.0,f,f,
Veterinary Pathology and Pathobiology,60.0,Test,21.63,15.46,18.0,31.6,57.6,62.7,92.4,100.0,t,f,
Pediatric Dentistry/Pedodontics,60.0,Test,20.13,13.21,30.0,38.4,54.7,59.2,88.1,100.0,t,f,
"Business Administration, Management and Operations, Other",60.0,Test,,,3392.0,95.1,,29.9,,0.0,f,f,
Restaurant/Food Services Management,59.9,Test,37.30,6.01,51.0,46.3,67.7,97.8,73.6,0.0,f,f,
Construction Engineering,59.8,Test,19.34,2.15,632.0,83.1,53.2,92.6,33.3,0.0,f,f,
"Hospitality Administration/Management, Other",59.7,Test,90.54,4.85,34.0,39.9,85.5,11.1,69.1,100.0,t,f,
Real Estate Development,59.7,Test,34.72,3.36,298.0,73.5,67.2,72.9,43.9,0.0,f,f,
Cultural Anthropology,59.7,Test,104.88,4.47,12.0,26.9,93.4,26.9,63.6,100.0,t,f,
"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",59.7,Test,10.79,4.94,2504.0,93.6,37.8,65.9,69.3,0.0,f,f,
"Intelligence, General",59.6,Test,,,439.0,79.5,,,,0.0,f,f,
History and Political Science,59.5,Test,100.80,4.32,5.0,17.3,90.8,55.0,59.0,100.0,t,f,
Rural Sociology,59.5,Test,103.92,4.43,2.0,12.2,92.3,,61.6,100.0,t,f,
Elementary Education and Teaching,59.5,Test,86.73,-1.79,9057.0,98.3,83.7,29.7,3.0,0.0,f,f,
Child Care and Support Services Management,59.4,Test,65.13,4.10,91.0,55.4,78.2,72.5,56.6,0.0,f,f,
"Communication, General",59.4,Test,20.32,4.41,665.0,83.4,54.9,59.0,60.4,0.0,f,f,
"Physics, General",59.4,Test,59.98,-1.04,1938.0,92.4,74.9,50.6,10.5,0.0,f,f,
Toxicology,59.4,Test,18.61,12.22,48.0,45.3,51.6,48.8,86.6,100.0,t,f,
Sustainability Studies,59.3,Test,10.93,2.95,1850.0,92.1,38.1,94.0,41.2,0.0,f,f,
"Chemistry, General",59.3,Test,57.47,-0.73,2389.0,93.4,74.3,46.6,13.4,0.0,f,f,
Health Professions Education,59.1,Test,19.92,9.39,30.0,38.4,54.0,,83.2,100.0,t,f,
Mechanical Engineering,59.1,Test,16.68,3.50,7288.0,97.9,49.0,54.7,45.7,0.0,f,f,
American Government and Politics (United States),59.0,Test,87.67,1.75,84.0,54.0,84.8,20.5,28.5,100.0,t,f,
"Statistics, Other",59.0,Test,6.23,6.37,115.0,60.1,18.6,94.5,75.0,100.0,t,f,
"Computer Programming, Specific Platforms",59.0,Test,98.49,13.91,0.0,0.0,89.2,,89.2,100.0,t,f,
Electrical and Electronics Engineering,58.9,Test,11.74,5.56,8356.0,98.1,42.4,39.4,72.4,0.0,f,f,
Nuclear Medical Technology/Technologist,58.8,Test,25.69,16.38,10.0,24.2,61.7,,94.8,100.0,t,f,
"Teacher Education, Multiple Levels",58.8,Test,72.23,-1.86,4013.0,96.1,79.2,39.3,2.1,0.0,f,f,
International Law and Legal Studies,58.8,Test,30.53,4.04,387.0,78.1,64.7,51.4,55.0,0.0,f,f,
Hotel/Motel Administration/Management,58.8,Test,86.13,3.77,125.0,61.5,83.5,51.1,50.8,0.0,f,f,
Human Resources Law,58.7,Test,30.53,4.04,95.0,56.1,64.7,94.4,55.0,0.0,f,f,
"Electrical, Electronics, and Communications Engineering, Other",58.6,Test,11.74,5.56,257.0,71.7,42.4,90.0,72.4,0.0,f,f,
"Legal Professions and Studies, Other",58.6,Test,,,1115.0,89.2,,36.6,,0.0,f,f,
Tax Law/Taxation,58.6,Test,30.53,4.04,636.0,83.2,64.7,40.1,55.0,0.0,f,f,
"Parks, Recreation, and Leisure Facilities Management, Other",58.0,Test,305.21,4.44,0.0,0.0,100.0,,61.9,100.0,t,f,
"Animal Sciences, General",57.9,Test,78.36,-0.92,452.0,79.8,81.1,52.4,11.9,0.0,f,f,
Biological and Physical Sciences,57.9,Test,54.85,-0.75,546.0,81.8,73.4,62.2,13.4,0.0,f,f,
Agroecology and Sustainable Agriculture,57.8,Test,77.54,-0.89,120.0,60.5,80.7,90.7,12.2,0.0,f,f,
Secondary Education and Teaching,57.7,Test,62.32,-1.36,5395.0,97.2,77.8,28.4,6.2,0.0,f,f,
"Theology and Religious Vocations, Other",57.7,Test,,,573.0,82.2,,47.0,,0.0,f,f,
Yoga Teacher Training/Yoga Therapy,57.6,Test,74.20,11.90,35.0,40.2,80.1,,85.8,0.0,f,f,
Maternal and Child Health,57.6,Test,21.13,14.23,52.0,46.9,57.0,18.8,90.4,100.0,t,f,
Outdoor Education,57.6,Test,53.15,4.70,64.0,49.6,71.2,75.8,66.6,0.0,f,f,
"Management Information Systems and Services, Other",57.4,Test,52.32,14.58,27.0,36.6,70.9,9.8,91.5,100.0,t,f,
"Engineering-Related Fields, Other",57.4,Test,,,96.0,56.4,,97.6,,0.0,f,f,
Physical Education Teaching and Coaching,57.3,Test,59.85,0.66,1613.0,91.6,74.6,31.6,18.0,0.0,f,f,
"Banking, Corporate, Finance, and Securities Law",57.2,Test,30.53,4.04,274.0,72.6,64.7,51.4,55.0,0.0,f,f,
"Engineering, Other",57.2,Test,11.30,3.67,1922.0,92.3,39.2,69.4,49.2,0.0,f,f,
Veterinary Infectious Diseases,57.2,Test,21.63,15.46,19.0,32.3,57.6,42.4,92.4,100.0,t,f,
"Student Counseling and Personnel Services, Other",57.1,Test,28.35,3.56,311.0,74.4,64.0,56.2,47.4,0.0,f,f,
"English Language and Literature, General",57.1,Test,61.80,-1.49,3663.0,95.4,77.3,29.1,5.9,0.0,f,f,
Prosthodontics/Prosthodontology,57.0,Test,27.32,17.26,20.0,32.9,63.1,24.9,96.3,100.0,t,f,
Chemical Engineering,57.0,Test,11.64,4.47,1567.0,91.2,41.7,50.7,63.6,0.0,f,f,
Cell/Cellular Biology and Histology,57.0,Test,18.61,12.22,41.0,42.5,51.6,38.7,86.6,100.0,t,f,
Youth Services/Administration,56.9,Test,29.25,4.46,63.0,49.3,64.4,89.7,62.2,0.0,f,f,
"Business, Management, Marketing, and Related Support Services, Other",56.9,Test,,,946.0,87.4,,34.0,,0.0,f,f,
Financial Planning and Services,56.9,Test,29.99,5.74,234.0,70.8,64.5,35.9,72.9,0.0,f,f,
"Science, Technology, Engineering, and Mathematics (STEM) Educational Methods",56.9,Test,72.23,-1.86,327.0,75.1,79.2,68.9,2.1,0.0,f,f,
Environmental/Natural Resource Economics,56.8,Test,102.40,4.46,9.0,22.9,91.6,20.7,62.2,100.0,t,f,
Learning Sciences,56.8,Test,8.87,2.47,937.0,87.3,33.4,98.7,38.3,0.0,f,f,
College Student Counseling and Personnel Services,56.7,Test,28.35,3.56,770.0,85.2,64.0,32.3,47.4,0.0,f,f,
"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",56.7,Test,,,122.0,61.2,,85.6,,0.0,f,f,
"Music, General",56.6,Test,59.91,-1.24,1579.0,91.2,74.7,36.5,9.3,0.0,f,f,
"Civil Engineering, Other",56.5,Test,18.99,4.84,103.0,58.2,52.5,87.0,68.3,0.0,f,f,
Apparel and Textile Marketing Management,56.5,Test,71.24,6.67,16.0,30.1,79.1,15.7,76.0,100.0,t,f,
Marriage and Family Therapy/Counseling,56.4,Test,6.21,8.97,3976.0,95.9,18.4,64.9,82.7,0.0,f,f,
Special Products Marketing Operations,56.4,Test,111.75,-0.12,14.0,28.4,94.6,48.5,14.6,100.0,t,f,
Manufacturing Engineering,56.3,Test,19.96,4.76,343.0,75.8,54.6,47.1,67.6,0.0,f,f,
Clinical/Medical Laboratory Technician,56.1,Test,27.40,17.30,3.0,14.1,63.2,,96.4,100.0,t,f,
Horticultural Science,56.0,Test,82.30,-1.16,167.0,66.2,82.5,66.3,9.9,0.0,f,f,
Packaging Science,55.9,Test,19.28,6.69,87.0,54.7,53.1,80.7,76.1,0.0,f,f,
"Web Page, Digital/Multimedia and Information Resources Design",55.9,Test,14.64,2.99,488.0,80.7,47.2,75.3,41.4,0.0,f,f,
Curriculum and Instruction,55.9,Test,17.93,1.49,18417.0,99.5,50.8,46.5,25.4,0.0,f,f,
Pre-Medicine/Pre-Medical Studies,55.7,Test,,,148.0,63.7,,77.0,,0.0,f,f,
"Design and Applied Arts, Other",55.7,Test,,,339.0,75.7,,52.9,,0.0,f,f,
Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,55.6,Test,22.28,16.28,11.0,25.5,59.2,40.5,94.0,100.0,t,f,
Emergency Medical Technology/Technician (EMT Paramedic),55.5,Test,19.19,11.25,14.0,28.4,53.0,55.7,84.7,100.0,t,f,
Digital Humanities,55.5,Test,91.33,3.98,2.0,12.2,85.8,,51.8,100.0,t,f,
Child Care Provider/Assistant,55.4,Test,160.20,-2.90,32.0,39.4,97.1,95.0,1.4,0.0,f,f,
Personality Psychology,55.3,Test,99.02,4.46,4.0,15.9,89.6,28.6,62.2,100.0,t,f,
Health Information/Medical Records Technology/Technician,55.2,Test,12.25,8.45,30.0,38.4,43.8,,81.9,100.0,t,f,
Fashion Merchandising,55.2,Test,114.80,0.30,27.0,36.6,95.1,88.1,16.3,0.0,f,f,
Meeting and Event Planning,55.1,Test,15.50,4.80,71.0,51.5,48.5,99.4,68.1,0.0,f,f,
Clinical Nutrition/Nutritionist,55.1,Test,6.20,5.50,711.0,84.4,18.2,90.4,72.0,0.0,f,f,
"Human Development, Family Studies, and Related Services, Other",55.1,Test,,,125.0,61.5,,79.2,,0.0,f,f,
Reading Teacher Education,55.1,Test,54.65,-1.59,4871.0,96.9,71.8,26.0,3.8,0.0,f,f,
Political Communication,55.1,Test,19.94,4.71,83.0,53.7,54.1,85.0,66.8,0.0,f,f,
"Corrections and Criminal Justice, Other",55.1,Test,28.94,-7.41,482.0,80.4,64.3,77.3,0.8,0.0,f,f,
Rehabilitation Science,55.1,Test,22.75,13.27,35.0,40.2,59.6,13.0,88.2,100.0,t,f,
Transportation/Mobility Management,54.9,Test,18.50,6.10,101.0,57.8,51.2,74.3,73.9,0.0,f,f,
Human/Medical Genetics,54.9,Test,8.26,8.32,267.0,72.3,29.9,79.5,81.8,0.0,f,f,
Mathematics Teacher Education,54.9,Test,54.65,-1.59,1592.0,91.4,71.8,35.9,3.8,0.0,f,f,
Public Relations/Image Management,54.9,Test,19.94,4.71,399.0,78.4,54.1,34.5,66.8,0.0,f,f,
Customer Service Management,54.8,Test,126.52,0.43,18.0,31.6,95.7,93.8,16.8,0.0,f,f,
Theology/Theological Studies,54.7,Test,21.02,0.97,3719.0,95.7,56.6,40.3,19.7,0.0,f,f,
History Teacher Education,54.7,Test,54.65,-1.59,237.0,71.0,71.8,75.0,3.8,0.0,f,f,
Higher Education/Higher Education Administration,54.7,Test,12.79,1.87,2983.0,94.6,44.9,55.6,30.2,0.0,f,f,
"Physiology, General",54.6,Test,8.40,8.30,572.0,82.2,30.1,58.4,81.0,0.0,f,f,
Agronomy and Crop Science,54.5,Test,78.16,-0.88,223.0,69.8,80.9,49.5,12.3,0.0,f,f,
Neuroscience,54.5,Test,7.89,4.57,432.0,79.2,29.0,81.4,65.8,0.0,f,f,
"Health and Medical Administrative Services, Other",54.5,Test,14.40,3.50,515.0,81.2,46.8,61.9,45.7,0.0,f,f,
Veterinary Microbiology and Immunobiology,54.5,Test,21.63,15.46,4.0,15.9,57.6,57.5,92.4,100.0,t,f,
Music Teacher Education,54.5,Test,53.61,-1.52,1075.0,88.5,71.3,37.9,5.5,0.0,f,f,
English/Language Arts Teacher Education,54.5,Test,54.65,-1.59,967.0,87.8,71.8,40.2,3.8,0.0,f,f,
Oral/Maxillofacial Surgery,54.4,Test,26.84,17.03,1.0,10.0,62.8,,96.1,100.0,t,f,
Physical Fitness Technician,54.2,Test,68.18,11.83,16.0,30.1,78.8,57.5,85.7,0.0,f,f,
Criminal Justice/Police Science,54.1,Test,44.89,2.73,109.0,59.0,69.4,63.6,40.0,0.0,f,f,
Sports Communication,54.1,Test,22.49,3.49,86.0,54.5,59.3,87.5,45.5,0.0,f,f,
Environmental/Environmental Health Engineering,54.0,Test,11.27,4.53,757.0,85.0,39.2,46.4,65.3,0.0,f,f,
Forensic Science and Technology,53.9,Test,8.00,4.90,895.0,86.4,29.4,58.8,69.2,0.0,f,f,
Physical Therapy/Therapist,53.8,Test,20.59,14.23,37.0,41.8,55.4,7.4,90.4,100.0,t,f,
Labor and Industrial Relations,53.8,Test,25.20,3.97,446.0,79.6,61.4,25.2,51.7,0.0,f,f,
Nurse Anesthetist,53.7,Test,6.42,13.77,362.0,76.9,19.2,9.9,88.9,100.0,t,f,
Clinical Pastoral Counseling/Patient Counseling,53.7,Test,17.84,3.20,164.0,65.7,50.5,82.6,43.0,0.0,f,f,
"Pharmacology and Toxicology, Other",53.4,Test,20.93,14.17,5.0,17.3,55.8,,89.7,100.0,t,f,
"Public Relations, Advertising, and Applied Communication, Other",53.2,Test,,,234.0,70.8,,53.6,,0.0,f,f,
Film/Cinema/Media Studies,53.1,Test,11.19,3.54,586.0,82.6,39.1,63.5,47.1,0.0,f,f,
Cell/Cellular and Molecular Biology,53.1,Test,9.16,6.00,310.0,74.3,34.2,63.7,73.3,0.0,f,f,
"Energy, Environment, and Natural Resources Law",53.1,Test,30.53,4.04,111.0,59.6,64.7,50.3,55.0,0.0,f,f,
Creative Writing,53.0,Test,12.48,2.04,3274.0,94.9,44.1,43.3,31.8,0.0,f,f,
Computer/Computer Systems Technology/Technician,53.0,Test,11.01,5.99,84.0,54.0,38.4,95.6,73.1,0.0,f,f,
"Agricultural Business and Management, General",53.0,Test,78.99,-0.96,97.0,56.7,81.9,65.1,11.3,0.0,f,f,
Lay Ministry,53.0,Test,12.75,1.52,317.0,74.7,44.6,88.6,26.2,0.0,f,f,
Dietetics/Dietitian,52.9,Test,5.64,4.74,960.0,87.7,16.8,76.2,67.6,0.0,f,f,
Microbiology and Immunology,52.9,Test,9.16,6.00,129.0,62.0,34.2,87.2,73.3,0.0,f,f,
"Theological and Ministerial Studies, Other",52.9,Test,18.70,0.88,778.0,85.3,52.1,58.3,19.5,0.0,f,f,
"Communication and Media Studies, Other",52.9,Test,,,480.0,80.3,,33.3,,0.0,f,f,
Community Health Services/Liaison/Counseling,52.7,Test,7.85,7.73,356.0,76.5,28.8,62.4,78.6,0.0,f,f,
Materials Engineering,52.7,Test,14.52,0.59,1101.0,89.0,47.1,61.6,17.2,0.0,f,f,
Cinematography and Film/Video Production,52.6,Test,10.20,3.60,999.0,87.9,36.3,54.4,47.8,0.0,f,f,
Sociology and Anthropology,52.6,Test,104.82,4.47,2.0,12.2,93.2,9.6,63.6,100.0,t,f,
Community Organization and Advocacy,52.5,Test,15.79,4.20,472.0,80.0,48.7,34.4,58.0,0.0,f,f,
"Art/Art Studies, General",52.4,Test,55.16,-0.93,525.0,81.5,73.5,27.6,11.8,0.0,f,f,
Materials Science,52.3,Test,12.05,4.35,250.0,71.5,43.2,59.4,60.0,0.0,f,f,
