cip2020_title,score,band,employment_weighted_openings,employment_weighted_growth_pct,completions_latest_year,pct_completions_latest_year,pct_employment_weighted_openings,pct_completions_trend_pct,pct_employment_weighted_growth_pct,pct_bls_top30_flag,in_bls_top30_flag,is_finalist,proposed_name
Clinical Psychology,83.5,Go,97.70,4.82,3156.0,94.9,88.5,54.8,68.2,100.0,t,f,
Entrepreneurship/Entrepreneurial Studies,83.5,Go,241.85,4.42,1031.0,88.2,99.2,54.6,60.9,100.0,t,f,
"Psychology, General",83.4,Go,97.51,4.84,6999.0,97.9,88.1,49.1,68.3,100.0,t,f,
Business Statistics,83.4,Go,16.79,21.97,3993.0,96.1,49.4,99.0,99.3,100.0,t,f,
Accounting,83.4,Go,111.64,4.66,12504.0,99.0,94.5,35.8,66.3,100.0,t,f,
Physician Assistant,83.2,Go,21.86,18.42,12020.0,98.9,58.6,74.9,97.8,100.0,t,f,
"Human Resources Management/Personnel Administration, General",83.2,Go,61.18,6.61,5218.0,97.1,77.0,64.2,75.9,100.0,t,f,
Athletic Training/Trainer,83.2,Go,24.78,16.65,2008.0,92.7,61.1,85.1,95.1,100.0,t,f,
Crisis/Emergency/Disaster Management,83.1,Go,95.56,4.32,825.0,85.9,86.6,83.6,59.0,100.0,t,f,
Pediatric Nurse/Nursing,82.8,Go,171.31,8.15,353.0,76.3,97.3,58.5,79.4,100.0,t,f,
"Applied Statistics, General",82.8,Go,78.66,12.69,369.0,77.2,81.3,80.5,87.6,100.0,t,f,
Research and Development Management,82.8,Go,88.34,10.07,210.0,69.2,85.0,93.3,83.7,100.0,t,f,
"Finance, General",82.7,Go,246.51,6.32,3153.0,94.8,99.5,21.6,74.7,100.0,t,f,
Homeland Security,82.4,Go,95.56,4.32,855.0,86.2,86.6,78.1,59.0,100.0,t,f,
Speech-Language Pathology/Pathologist,82.2,Go,21.86,16.40,5463.0,97.2,58.6,74.5,94.9,100.0,t,f,
Information Resources Management,82.1,Go,52.32,14.58,916.0,87.0,70.9,73.1,91.5,100.0,t,f,
Health Information/Medical Records Administration/Administrator,81.8,Go,48.27,19.11,523.0,81.4,70.2,77.3,98.0,100.0,t,f,
International Relations and Affairs,81.5,Go,104.51,4.42,3988.0,96.0,92.5,38.5,60.9,100.0,t,f,
"Management Sciences and Quantitative Methods, Other",81.4,Go,,,16905.0,99.4,,99.5,,0.0,f,f,
School Psychology,81.0,Go,86.78,4.14,2408.0,93.5,83.9,61.3,57.5,100.0,t,f,
Criminal Justice/Law Enforcement Administration,80.9,Go,95.37,4.30,2605.0,93.8,86.3,54.0,58.7,100.0,t,f,
Perioperative/Operating Room and Surgical Nurse/Nursing,80.7,Go,171.31,8.15,109.0,59.0,97.3,79.3,79.4,100.0,t,f,
Cybersecurity Defense Strategy/Policy,80.5,Go,95.06,4.29,300.0,73.8,86.2,92.0,58.3,100.0,t,f,
Hospital and Health Care Facilities Administration/Management,80.3,Go,47.20,17.75,1042.0,88.2,69.8,55.3,97.5,100.0,t,f,
Experimental Psychology,80.2,Go,99.02,4.46,334.0,75.5,89.6,75.4,62.2,100.0,t,f,
National Security Policy Studies,80.0,Go,104.51,4.42,466.0,80.0,92.5,60.8,60.9,100.0,t,f,
Accounting and Finance,79.9,Go,95.94,7.89,541.0,81.8,87.1,49.2,78.7,100.0,t,f,
Community Health and Preventive Medicine,79.9,Go,48.11,20.64,320.0,74.8,70.1,77.9,98.2,100.0,t,f,
Digital Marketing,79.9,Go,65.82,6.70,357.0,76.6,78.5,,76.1,100.0,t,f,
Bioinformatics,79.7,Go,26.58,15.49,749.0,84.9,62.0,77.7,92.9,100.0,t,f,
Educational Statistics and Research Methods,79.6,Go,89.03,8.02,169.0,66.4,85.0,82.2,79.0,100.0,t,f,
Epidemiology,79.5,Go,20.40,14.23,2195.0,93.2,55.0,76.8,90.4,100.0,t,f,
Educational Psychology,79.4,Go,98.05,4.32,1372.0,90.6,89.0,44.5,59.0,100.0,t,f,
Library and Information Science,79.4,Go,97.39,4.23,5606.0,97.4,87.8,33.9,58.1,100.0,t,f,
