cip2020_code,cip2020_title,already_offered_by_vanderbilt,pct_completions_latest_year,pct_completions_trend_pct,pct_employment_weighted_openings,pct_employment_weighted_growth_pct,pct_bls_top30_flag,n_metrics_used,score,band
51.0913,Athletic Training/Trainer,f,92.7,85.1,61.1,95.1,100.0,5,83.2,Go
52.1001,"Human Resources Management/Personnel Administration, General",f,97.1,64.2,77.0,75.9,100.0,5,83.2,Go
43.0302,Crisis/Emergency/Disaster Management,f,85.9,83.6,86.6,59.0,100.0,5,83.1,Go
27.0601,"Applied Statistics, General",f,77.2,80.5,81.3,87.6,100.0,5,82.8,Go
51.3809,Pediatric Nurse/Nursing,f,76.3,58.5,97.3,79.4,100.0,5,82.8,Go
52.0210,Research and Development Management,f,69.2,93.3,85.0,83.7,100.0,5,82.8,Go
52.0801,"Finance, General",f,94.8,21.6,99.5,74.7,100.0,5,82.7,Go
43.0301,Homeland Security,f,86.2,78.1,86.6,59.0,100.0,5,82.4,Go
51.2706,Medical Informatics,t,93.7,95.4,61.3,77.5,100.0,5,82.4,
51.0203,Speech-Language Pathology/Pathologist,f,97.2,74.5,58.6,94.9,100.0,5,82.2,Go
52.1206,Information Resources Management,f,87.0,73.1,70.9,91.5,100.0,5,82.1,Go
51.0706,Health Information/Medical Records Administration/Administrator,f,81.4,77.3,70.2,98.0,100.0,5,81.8,Go
45.0901,International Relations and Affairs,f,96.0,38.5,92.5,60.9,100.0,5,81.5,Go
52.1399,"Management Sciences and Quantitative Methods, Other",f,99.4,99.5,,,0.0,3,81.4,Go
51.3808,Nursing Science,t,88.8,23.4,97.3,79.4,100.0,5,81.3,
42.2805,School Psychology,f,93.5,61.3,83.9,57.5,100.0,5,81.0,Go
43.0103,Criminal Justice/Law Enforcement Administration,f,93.8,54.0,86.3,58.7,100.0,5,80.9,Go
51.3812,Perioperative/Operating Room and Surgical Nurse/Nursing,f,59.0,79.3,97.3,79.4,100.0,5,80.7,Go
43.0404,Cybersecurity Defense Strategy/Policy,f,73.8,92.0,86.2,58.3,100.0,5,80.5,Go
51.0702,Hospital and Health Care Facilities Administration/Management,f,88.2,55.3,69.8,97.5,100.0,5,80.3,Go
42.2704,Experimental Psychology,f,75.5,75.4,89.6,62.2,100.0,5,80.2,Go
45.0902,National Security Policy Studies,f,80.0,60.8,92.5,60.9,100.0,5,80.0,Go
51.2208,Community Health and Preventive Medicine,f,74.8,77.9,70.1,98.2,100.0,5,79.9,Go
52.0304,Accounting and Finance,f,81.8,49.2,87.1,78.7,100.0,5,79.9,Go
52.1404,Digital Marketing,f,76.6,,78.5,76.1,100.0,4,79.9,Go
26.1103,Bioinformatics,f,84.9,77.7,62.0,92.9,100.0,5,79.7,Go
13.0603,Educational Statistics and Research Methods,f,66.4,82.2,85.0,79.0,100.0,5,79.6,Go
26.1309,Epidemiology,f,93.2,76.8,55.0,90.4,100.0,5,79.5,Go
25.0101,Library and Information Science,f,97.4,33.9,87.8,58.1,100.0,5,79.4,Go
42.2806,Educational Psychology,f,90.6,44.5,89.0,59.0,100.0,5,79.4,Go
51.2299,"Public Health, Other",f,86.7,48.3,70.7,98.6,100.0,5,79.3,Go
30.0601,Systems Science and Theory,f,78.9,72.6,86.6,57.8,100.0,5,79.2,Go
50.1099,"Arts, Entertainment, and Media Management, Other",f,63.4,99.8,87.5,59.5,100.0,5,79.2,Go
26.0509,Infectious Disease and Global Health,f,63.4,96.0,69.9,97.9,100.0,5,79.1,Go
51.3813,Clinical Nurse Specialist,f,71.7,42.7,97.3,79.4,100.0,5,79.0,Go
45.0201,"Anthropology, General",f,86.8,33.7,93.4,64.3,100.0,5,78.8,Go
52.1401,"Marketing/Marketing Management, General",f,92.3,43.9,78.1,73.8,100.0,5,78.8,Go
52.1403,International Marketing,f,72.9,79.8,78.6,75.6,100.0,5,78.8,Go
45.1101,"Sociology, General",f,89.7,30.9,91.9,63.6,100.0,5,78.7,Go
27.0503,Mathematics and Statistics,f,81.9,94.7,49.6,98.7,100.0,5,78.5,Go
