cip2020_code,cip2020_title,latest_year,completions_latest_year,trend_earliest_year,completions_trend_pct,matched_soc_codes,n_socs_used,employment_weighted_openings,employment_weighted_growth_pct,in_bls_top30_flag,already_offered_by_vanderbilt
13.1301,Agricultural Teacher Education,2024,318.0,2012,-0.9,"25-1194, 25-2032, 25-1081",3,7.11,0.19,f,f
13.1302,Art Teacher Education,2024,666.0,2012,-40.9,"25-2031, 25-2022, 25-1121",3,53.61,-1.52,f,f
13.1303,Business and Innovation/Entrepreneurship Teacher Education,2024,86.0,2012,-55.9,"25-1194, 25-2032, 25-1011",3,7.76,1.48,f,f
13.1304,Driver and Safety Teacher Education,2024,0.0,2012,-100.0,"25-2031, 25-3099, 25-1081",3,57.17,-1.22,f,f
13.1305,English/Language Arts Teacher Education,2024,967.0,2012,-9.5,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1306,Foreign Language Teacher  Education,2024,206.0,2012,-13.1,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1307,Health Teacher Education,2024,487.0,2012,-10.5,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1308,Family and Consumer Sciences/Home Economics Teacher Education,2024,59.0,2012,-31.4,"25-2031, 25-2022, 25-2032",3,53.92,-1.75,f,f
13.1309,Technology Teacher Education/Industrial Arts Teacher Education,2024,184.0,2012,-45.6,"25-2031, 25-2022, 25-1194",3,53.61,-1.59,f,f
13.1310,Sales and Marketing Operations/Marketing and Distribution   Teacher Education,2024,0.0,2012,-100.0,"25-1194, 25-2032, 25-1011",3,7.76,1.48,f,f
13.1311,Mathematics Teacher Education,2024,1592.0,2012,-18.2,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1312,Music Teacher Education,2024,1075.0,2012,-14.8,"25-2031, 25-2022, 25-1121",3,53.61,-1.52,f,f
13.1314,Physical Education Teaching and Coaching,2024,1613.0,2012,-27.9,"25-2031, 25-2022, 39-9031",3,59.85,0.66,f,f
13.1315,Reading Teacher Education,2024,4871.0,2012,-39.0,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1316,Science Teacher Education/General Science Teacher Education,2024,586.0,2012,-33.0,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1317,Social Science Teacher Education,2024,111.0,2012,-27.0,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1318,Social Studies Teacher Education,2024,477.0,2012,-36.0,"25-2031, 25-2022",2,56.78,-1.75,f,f
13.1319,Technical Teacher Education,2024,111.0,2012,-52.4,"25-1194, 25-2032, 25-1081",3,7.11,0.19,f,f
13.1320,Trade and Industrial Teacher Education,2024,263.0,2012,-5.7,"25-1194, 25-2032, 25-1081",3,7.11,0.19,f,f
13.1321,Computer Teacher Education,2024,43.0,2012,-93.2,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
13.1322,Biology Teacher Education,2024,326.0,2012,-3.8,"25-2031, 25-2022, 25-1081",3,54.65,-1.59,f,f
