cip2020_code,cip2020_title,score,completions_latest_year,employment_weighted_openings,n_socs_used,no_labor_data,has_soc_11_1021,matched_soc_codes,algo_cluster_id,algo_cluster_size
42.2801,Clinical Psychology,83.5,3156.0,97.7,3,f,f,"11-9199, 19-3033, 25-1066",cluster-2,7
42.2805,School Psychology,81.0,2408.0,86.78,3,f,f,"11-9199, 21-1012, 19-3034",cluster-2,7
42.2806,Educational Psychology,79.4,1372.0,98.05,3,f,f,"11-9199, 19-3034, 19-3039",cluster-2,7
51.0701,Health/Health Care Administration/Management,88.9,12880.0,62.1,1,f,f,11-9111,cluster-3,5
51.0706,Health Information/Medical Records Administration/Administrator,81.8,523.0,48.27,3,f,f,"11-9111, 29-2072, 29-9021",cluster-3,5
51.0702,Hospital and Health Care Facilities Administration/Management,80.3,1042.0,47.2,3,f,f,"11-9111, 11-3013, 25-1011",cluster-3,5
51.0719,Clinical Research Coordinator,76.8,132.0,84.54,3,f,f,"11-9199, 11-9111, 11-9033",cluster-3,5
51.0722,Healthcare Innovation,76.4,93.0,62.1,1,f,f,11-9111,cluster-3,5
51.2201,"Public Health, General",85.3,11934.0,47.84,3,f,f,"11-9111, 25-1071, 21-1091",cluster-4,5
51.2211,Health Services Administration,84.3,1112.0,62.1,1,f,f,11-9111,cluster-4,5
51.2208,Community Health and Preventive Medicine,79.9,320.0,48.11,3,f,f,"11-9111, 25-1071, 21-1094",cluster-4,5
51.2299,"Public Health, Other",79.3,911.0,51.01,2,f,f,"11-9111, 25-1071",cluster-4,5
51.2210,International Public Health/International Health,77.6,419.0,56.44,2,f,f,"11-9111, 21-1091",cluster-4,5
52.0201,"Business Administration and Management, General",84.7,97150.0,226.95,3,f,t,"11-1021, 11-9199, 13-1199",cluster-5,5
52.0211,Project Management,84.7,1405.0,90.6,3,f,f,"11-9199, 13-1082, 25-1011",cluster-5,5
52.0206,Non-Profit/Public/Organizational Management,83.7,1297.0,234.29,3,f,t,"11-1021, 11-9199, 11-9111",cluster-5,5
52.0210,Research and Development Management,82.8,210.0,88.34,3,f,f,"11-9199, 11-9111, 11-9121",cluster-5,5
52.0203,"Logistics, Materials, and Supply Chain Management",76.7,1223.0,20.74,3,f,f,"11-3051, 13-1081, 11-3071",cluster-5,5
52.1404,Digital Marketing,79.9,357.0,65.82,3,f,f,"13-1161, 11-2021, 15-1255",cluster-6,4
52.1401,"Marketing/Marketing Management, General",78.8,1929.0,64.24,3,f,f,"13-1161, 11-2022, 11-2021",cluster-6,4
52.1403,International Marketing,78.8,288.0,66.75,3,f,f,"13-1161, 11-2021, 25-1011",cluster-6,4
52.1499,"Marketing, Other",77.1,299.0,66.75,3,f,f,"13-1161, 11-2021, 25-1011",cluster-6,4
11.1005,Information Technology Project Management,88.5,1607.0,85.73,3,f,f,"11-9199, 13-1082, 11-3021",cluster-10,3
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,86.9,8513.0,37.88,3,f,f,"11-3021, 15-1244, 15-1212",cluster-10,3
11.1099,"Computer/Information Technology Services Administration and Management, Other",78.2,3329.0,,0,t,,,cluster-10,3
51.2009,Industrial and Physical Pharmacy and Cosmetic Sciences,87.1,954.0,82.77,3,f,f,"11-9199, 25-1071, 11-3051",cluster-11,3
51.2007,Pharmacoeconomics/Pharmaceutical Economics,78.2,105.0,50.05,3,f,f,"11-9111, 25-1071, 19-3011",cluster-11,3
51.2010,Pharmaceutical Sciences,77.4,487.0,20.93,2,f,f,"25-1071, 19-1042",cluster-11,3
42.2799,"Research and Experimental Psychology, Other",86.2,670.0,99.02,3,f,f,"11-9199, 19-3039, 25-1066",cluster-12,3
42.2703,Developmental and Child Psychology,83.9,1007.0,86.58,3,f,f,"11-9199, 21-1021, 19-3033",cluster-12,3
42.2704,Experimental Psychology,80.2,334.0,99.02,3,f,f,"11-9199, 19-3039, 25-1066",cluster-12,3
13.0601,Educational Evaluation and Research,85.5,473.0,89.03,3,f,f,"13-1111, 25-1081, 19-3099",cluster-13,3
13.0603,Educational Statistics and Research Methods,79.6,169.0,89.03,3,f,f,"13-1111, 25-1081, 19-3099",cluster-13,3
13.0604,"Educational Assessment, Testing, and Measurement",77.6,139.0,89.03,3,f,f,"13-1111, 25-1081, 19-3099",cluster-13,3
45.0999,"International Relations and National Security Studies, Other",83.6,354.0,104.51,3,f,f,"11-9199, 25-1065, 19-3094",cluster-14,3
45.0901,International Relations and Affairs,81.5,3988.0,104.51,3,f,f,"11-9199, 25-1065, 19-3094",cluster-14,3
45.0902,National Security Policy Studies,80.0,466.0,104.51,3,f,f,"11-9199, 25-1065, 19-3094",cluster-14,3
52.0301,Accounting,83.4,12504.0,111.64,3,f,f,"13-2011, 25-1011, 13-2082",cluster-15,3
52.0304,Accounting and Finance,79.9,541.0,95.94,3,f,f,"13-2011, 11-3031, 13-2051",cluster-15,3
52.0305,Accounting and Business/Management,76.3,289.0,95.94,3,f,f,"13-2011, 11-3031, 13-2051",cluster-15,3
51.0203,Speech-Language Pathology/Pathologist,82.2,5463.0,21.86,2,f,f,"25-1071, 29-1127",cluster-16,3
51.0204,Audiology/Audiologist and Speech-Language Pathology/Pathologist,77.1,2893.0,21.18,3,f,f,"25-1071, 29-1127, 29-1181",cluster-16,3
51.0201,"Communication Sciences and Disorders, General",76.5,2034.0,21.18,3,f,f,"25-1071, 29-1127, 29-1181",cluster-16,3
51.1508,Mental Health Counseling/Counselor,76.2,9776.0,,0,t,,,cluster-17,3
51.1501,Substance Abuse/Addiction Counseling,75.4,525.0,27.4,1,f,f,25-1071,cluster-17,3
51.1599,"Mental and Social Health Services and Allied Professions, Other",75.3,1290.0,,0,t,,,cluster-17,3
52.1301,Management Science,95.1,23761.0,246.89,3,f,t,"11-1021, 13-1111, 11-1011",cluster-7,3
52.1302,Business Statistics,83.4,3993.0,16.79,3,f,f,"15-2051, 25-1011, 25-1022",cluster-7,3
52.1399,"Management Sciences and Quantitative Methods, Other",81.4,16905.0,,0,t,,,cluster-7,3
11.0104,Informatics,92.3,1358.0,98.36,3,f,f,"15-1252, 15-1253, 15-1255",cluster-8,3
11.0103,Information Technology,91.4,10351.0,86.76,3,f,f,"15-1252, 11-3021, 15-1211",cluster-8,3
11.0101,"Computer and Information Sciences, General",86.3,21233.0,41.97,3,f,f,"11-3021, 15-1211, 15-1299",cluster-8,3
30.7102,Business Analytics,91.6,6456.0,85.45,3,f,f,"13-1111, 13-1161, 15-2051",cluster-9,3
30.7104,Financial Analytics,87.4,965.0,77.64,3,f,f,"13-1111, 11-3031, 13-2051",cluster-9,3
30.7101,"Data Analytics, General",87.3,931.0,75.58,3,f,f,"13-1111, 15-2051, 25-1199",cluster-9,3
14.0903,Computer Software Engineering,89.1,2852.0,95.37,3,f,f,"15-1252, 11-9041, 15-1253",cluster-18,2
14.0901,"Computer Engineering, General",88.6,3575.0,95.37,3,f,f,"15-1252, 11-9041, 15-1253",cluster-18,2
11.0802,Data Modeling/Warehousing and Database Administration,88.3,2822.0,42.43,3,f,f,"11-3021, 15-2051, 25-1194",cluster-19,2
11.0804,"Modeling, Virtual Environments and Simulation",84.8,195.0,97.8,3,f,f,"15-1252, 15-2051, 15-1251",cluster-19,2
11.0201,"Computer Programming/Programmer, General",86.3,352.0,97.36,3,f,f,"15-1252, 15-1253, 15-1231",cluster-20,2
11.0202,"Computer Programming, Specific Applications",77.6,54.0,98.49,3,f,f,"15-1252, 15-1253, 15-1251",cluster-20,2
27.0305,Financial Mathematics,84.7,4608.0,21.84,3,f,f,"13-2051, 15-2051, 13-2099",cluster-21,2
27.0304,Computational and Applied Mathematics,76.9,377.0,16.87,3,f,f,"15-2051, 11-9121, 25-1022",cluster-21,2
51.0913,Athletic Training/Trainer,83.2,2008.0,24.78,2,f,f,"25-1071, 29-9091",cluster-22,2
51.0912,Physician Assistant,83.2,12020.0,21.86,2,f,f,"25-1071, 29-1071",cluster-22,2
43.0302,Crisis/Emergency/Disaster Management,83.1,825.0,95.56,3,f,f,"11-9199, 33-1012, 11-9161",cluster-23,2
43.0301,Homeland Security,82.4,855.0,95.56,3,f,f,"11-9199, 33-1012, 11-9161",cluster-23,2
26.1103,Bioinformatics,79.7,749.0,26.58,3,f,f,"15-1299, 15-2051, 19-4021",cluster-24,2
26.1102,Biostatistics,77.1,1091.0,18.61,3,f,f,"25-1071, 19-1042, 11-9121",cluster-24,2
50.1099,"Arts, Entertainment, and Media Management, Other",79.2,146.0,97.07,3,f,f,"11-9199, 25-1121, 13-1011",cluster-25,2
50.1001,"Arts, Entertainment, and Media Management, General",76.8,268.0,97.07,3,f,f,"11-9199, 25-1121, 13-1011",cluster-25,2
27.0503,Mathematics and Statistics,78.5,549.0,16.87,3,f,f,"15-2051, 11-9121, 25-1022",cluster-26,2
27.0501,"Statistics, General",77.3,2725.0,16.87,3,f,f,"15-2051, 11-9121, 25-1022",cluster-26,2
51.2306,Occupational Therapy/Therapist,78.4,5737.0,21.28,2,f,f,"25-1071, 29-1122",cluster-27,2
51.2307,Orthotist/Prosthetist,77.2,233.0,25.54,3,f,f,"25-1071, 51-9082, 29-2091",cluster-27,2
11.0401,Information Science/Studies,90.3,10368.0,87.19,3,f,f,"15-1252, 11-3021, 15-1299",single-11.0401,1
25.0101,Library and Information Science,79.4,5606.0,97.39,3,f,f,"11-9199, 25-4022, 25-1082",single-25.0101,1
26.0509,Infectious Disease and Global Health,79.1,146.0,47.51,3,f,f,"11-9111, 19-1042, 19-1029",single-26.0509,1
26.1309,Epidemiology,79.5,2195.0,20.4,3,f,f,"25-1071, 19-1042, 19-1041",single-26.1309,1
27.0601,"Applied Statistics, General",82.8,369.0,78.66,3,f,f,"13-1111, 15-2051, 11-9121",single-27.0601,1
30.0601,Systems Science and Theory,79.2,423.0,95.43,2,f,f,"11-9199, 25-1199",single-30.0601,1
30.0801,Mathematics and Computer Science,86.2,375.0,87.19,3,f,f,"15-1252, 11-3021, 15-1299",single-30.0801,1
30.1901,Nutrition Sciences,78.3,1727.0,19.36,3,f,f,"25-1071, 11-9121, 29-1031",single-30.1901,1
30.3001,Computational Science,84.2,1682.0,25.52,3,f,f,"15-1299, 15-2051, 25-1199",single-30.3001,1
30.3101,Human Computer Interaction,85.0,1261.0,41.83,3,f,f,"11-3021, 15-1299, 15-1255",single-30.3101,1
30.7001,"Data Science, General",93.9,4322.0,91.29,3,f,f,"15-1252, 11-3021, 15-2051",single-30.7001,1
42.0101,"Psychology, General",83.4,6999.0,97.51,3,f,f,"11-9199, 19-3033, 19-3039",single-42.0101,1
42.9999,"Psychology, Other",85.3,2060.0,99.02,3,f,f,"11-9199, 19-3039, 25-1066",single-42.9999,1
43.0103,Criminal Justice/Law Enforcement Administration,80.9,2605.0,95.37,3,f,f,"11-9199, 33-1012, 25-1111",single-43.0103,1
43.0202,Fire Services Administration,76.7,154.0,92.73,3,f,f,"11-9199, 25-1194, 33-1021",single-43.0202,1
43.0404,Cybersecurity Defense Strategy/Policy,80.5,300.0,95.06,3,f,f,"11-9199, 33-1012, 33-1099",single-43.0404,1
44.0401,Public Administration,84.0,10493.0,241.85,3,f,t,"11-1021, 11-9199, 11-1011",single-44.0401,1
44.0503,Health Policy Analysis,75.5,105.0,48.95,3,f,f,"11-9111, 25-1071, 19-3099",single-44.0503,1
