occupation_title,soc_code,occupation_type,employment_2024,employment_2034,employment_change_numeric_2024_34,employment_change_percent_2024_34,labor_force_exit_rate_2024_34,occupational_transfer_rate_2024_34,total_separations_rate_2024_34,labor_force_exits_2024_34,occupational_transfers_2024_34,total_separations_2024_34,occupational_openings_2024_34
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,16.5,17.0,0.5,3.0,4.5,6.5,11.0,0.7,1.1,1.8,1.9
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,598.0,598.1,0.1,0.0,4.7,7.0,11.7,27.8,42.1,69.9,69.9
Jewelers and precious stone and metal workers,51-9071,Line item,35.1,33.2,-1.9,-5.5,6.5,5.7,12.2,2.2,1.9,4.2,4.0
Dental laboratory technicians,51-9081,Line item,35.2,33.6,-1.6,-4.7,5.3,6.5,11.8,1.8,2.2,4.0,3.9
Medical appliance technicians,51-9082,Line item,12.0,12.4,0.4,3.7,5.3,6.5,11.8,0.6,0.8,1.4,1.5
Ophthalmic laboratory technicians,51-9083,Line item,19.6,20.0,0.5,2.3,5.3,6.5,11.8,1.0,1.3,2.3,2.4
Packaging and filling machine operators and tenders,51-9111,Line item,381.2,398.2,17.0,4.5,4.9,6.3,11.2,19.1,24.5,43.6,45.3
"Painting, coating, and decorating workers",51-9123,Line item,8.8,8.9,0.1,1.4,3.4,6.0,9.5,0.3,0.5,0.8,0.8
"Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,165.5,166.7,1.2,0.7,3.4,6.0,9.5,5.7,10.0,15.7,15.8
Semiconductor processing technicians,51-9141,Line item,31.9,35.4,3.5,10.9,3.9,6.8,10.7,1.3,2.3,3.6,3.9
Photographic process workers and processing machine operators,51-9151,Line item,11.2,10.9,-0.3,-2.6,4.9,9.1,14.0,0.5,1.0,1.6,1.5
Computer numerically controlled tool operators,51-9161,Line item,177.1,158.1,-19.0,-10.7,2.8,6.3,9.2,4.7,10.6,15.4,13.5
Computer numerically controlled tool programmers,51-9162,Line item,28.3,31.9,3.6,12.8,2.8,6.3,9.2,0.8,1.9,2.8,3.1
Adhesive bonding machine operators and tenders,51-9191,Line item,12.2,12.3,0.1,1.0,4.6,6.1,10.7,0.6,0.7,1.3,1.3
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,14.6,15.2,0.5,3.6,3.9,6.8,10.7,0.6,1.0,1.6,1.6
Cooling and freezing equipment operators and tenders,51-9193,Line item,7.1,7.6,0.5,7.2,3.9,6.8,10.7,0.3,0.5,0.8,0.8
Etchers and engravers,51-9194,Line item,8.6,8.6,-0.1,-0.7,4.8,5.5,10.3,0.4,0.5,0.9,0.9
"Molders, shapers, and casters, except metal and plastic",51-9195,Line item,41.7,44.3,2.6,6.2,6.2,5.9,12.1,2.7,2.5,5.2,5.5
"Paper goods machine setters, operators, and tenders",51-9196,Line item,97.5,91.4,-6.1,-6.3,3.7,5.5,9.2,3.5,5.2,8.7,8.1
Tire builders,51-9197,Line item,20.9,21.4,0.5,2.3,4.5,7.3,11.8,1.0,1.5,2.5,2.5
Helpers--production workers,51-9198,Line item,168.5,153.5,-15.0,-8.9,6.7,8.9,15.6,10.8,14.4,25.1,23.6
"Production workers, all other",51-9199,Line item,292.8,294.3,1.5,0.5,3.9,6.8,10.7,11.6,19.8,31.4,31.6
Aircraft cargo handling supervisors,53-1041,Line item,10.3,10.8,0.5,5.2,3.4,6.2,9.5,0.4,0.7,1.0,1.1
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,Line item,609.6,632.2,22.5,3.7,3.4,6.2,9.5,20.8,38.3,59.1,61.3
"Airline pilots, copilots, and flight engineers",53-2011,Line item,100.0,103.9,3.9,3.9,3.8,7.2,11.0,3.9,7.4,11.3,11.7
Commercial pilots,53-2012,Line item,55.4,58.3,2.8,5.1,3.8,7.2,11.0,2.2,4.1,6.3,6.6
Air traffic controllers,53-2021,Line item,24.1,24.4,0.3,1.2,2.4,6.5,8.9,0.6,1.6,2.2,2.2
Airfield operations specialists,53-2022,Line item,16.9,17.6,0.7,4.2,2.4,6.5,8.9,0.4,1.1,1.5,1.6
Flight attendants,53-2031,Line item,130.8,142.9,12.1,9.2,6.4,7.1,13.6,8.8,9.8,18.6,19.8
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,12.3,12.1,-0.2,-1.3,3.8,8.0,11.8,0.5,1.0,1.4,1.4
Driver/sales workers,53-3031,Line item,451.5,491.3,39.8,8.8,4.4,5.6,10.0,20.8,26.5,47.3,51.3
Heavy and tractor-trailer truck drivers,53-3032,Line item,2235.1,2324.4,89.3,4.0,4.4,5.6,10.0,100.4,128.3,228.7,237.6
Light truck drivers,53-3033,Line item,1079.8,1158.6,78.9,7.3,4.4,5.6,10.0,49.3,63.0,112.3,120.2
"Bus drivers, school",53-3051,Line item,387.3,388.2,0.9,0.2,11.1,4.6,15.7,43.1,17.7,60.9,61.0
"Bus drivers, transit and intercity",53-3052,Line item,158.8,165.6,6.8,4.3,8.0,4.5,12.4,12.9,7.3,20.2,20.9
Shuttle drivers and chauffeurs,53-3053,Line item,243.9,260.3,16.4,6.7,9.0,4.7,13.7,22.7,11.9,34.6,36.3
Taxi drivers,53-3054,Line item,204.0,226.6,22.6,11.1,4.8,4.6,9.4,10.4,9.9,20.3,22.6
"Motor vehicle operators, all other",53-3099,Line item,79.3,84.0,4.7,6.0,7.5,5.5,13.0,6.1,4.5,10.6,11.1
Locomotive engineers,53-4011,Line item,27.0,27.2,0.2,0.7,2.8,5.2,8.0,0.8,1.4,2.2,2.2
"Rail yard engineers, dinkey operators, and hostlers",53-4013,Line item,3.1,3.1,0.0,0.3,2.8,5.2,8.0,0.1,0.2,0.2,0.2
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,Line item,11.0,11.1,0.1,1.0,3.3,6.0,9.2,0.4,0.7,1.0,1.0
Railroad conductors and yardmasters,53-4031,Line item,36.8,37.2,0.4,1.1,2.3,6.0,8.4,0.9,2.2,3.1,3.1
Subway and streetcar operators,53-4041,Line item,9.6,9.9,0.3,3.4,3.3,6.0,9.2,0.3,0.6,0.9,0.9
"Rail transportation workers, all other",53-4099,Line item,1.6,1.6,0.1,3.9,3.3,6.0,9.2,0.1,0.1,0.1,0.2
Sailors and marine oilers,53-5011,Line item,32.1,32.8,0.7,2.3,4.3,7.4,11.7,1.4,2.4,3.8,3.9
"Captains, mates, and pilots of water vessels",53-5021,Line item,40.7,40.9,0.2,0.5,4.6,5.9,10.6,1.9,2.4,4.3,4.3
Motorboat operators,53-5022,Line item,2.7,2.8,0.0,1.4,4.6,5.9,10.6,0.1,0.2,0.3,0.3
Ship engineers,53-5031,Line item,8.8,9.0,0.1,1.6,4.3,7.4,11.7,0.4,0.7,1.0,1.1
Bridge and lock tenders,53-6011,Line item,2.9,2.8,-0.1,-3.3,4.2,5.9,10.1,0.1,0.2,0.3,0.3
Parking attendants,53-6021,Line item,135.7,139.8,4.0,3.0,5.2,7.9,13.1,7.1,10.9,18.1,18.5
Automotive and watercraft service attendants,53-6031,Line item,100.0,99.0,-1.0,-1.0,5.4,9.2,14.6,5.4,9.2,14.5,14.4
Aircraft service attendants,53-6032,Line item,28.0,29.5,1.4,5.1,5.4,9.2,14.6,1.5,2.7,4.2,4.3
Traffic technicians,53-6041,Line item,7.9,8.2,0.3,3.7,4.2,5.9,10.1,0.3,0.5,0.8,0.8
Transportation inspectors,53-6051,Line item,25.7,26.1,0.4,1.7,4.3,5.3,9.6,1.1,1.4,2.5,2.5
Passenger attendants,53-6061,Line item,25.6,26.8,1.2,4.7,10.0,5.2,15.2,2.6,1.4,4.0,4.1
"Transportation workers, all other",53-6099,Line item,11.5,11.9,0.4,3.8,4.2,5.9,10.1,0.5,0.7,1.2,1.2
Conveyor operators and tenders,53-7011,Line item,29.1,28.1,-1.0,-3.4,4.1,5.4,9.5,1.2,1.6,2.7,2.6
Crane and tower operators,53-7021,Line item,42.3,43.5,1.3,3.0,2.9,5.6,8.5,1.2,2.4,3.7,3.8
Dredge operators,53-7031,Line item,1.1,1.2,0.0,1.2,4.1,5.4,9.5,0.0,0.1,0.1,0.1
Hoist and winch operators,53-7041,Line item,2.7,2.7,0.0,-1.1,4.1,5.4,9.5,0.1,0.1,0.3,0.3
