occupation_title,soc_code,occupation_type,employment_2024,employment_2034,employment_change_numeric_2024_34,employment_change_percent_2024_34,labor_force_exit_rate_2024_34,occupational_transfer_rate_2024_34,total_separations_rate_2024_34,labor_force_exits_2024_34,occupational_transfers_2024_34,total_separations_2024_34,occupational_openings_2024_34
Human resources specialists,13-1071,Line item,944.3,1002.7,58.4,6.2,2.8,5.0,7.8,27.7,48.2,75.9,81.8
Farm labor contractors,13-1074,Line item,3.9,4.2,0.2,6.0,2.8,5.0,7.8,0.1,0.2,0.3,0.3
Labor relations specialists,13-1075,Line item,65.4,65.4,-0.1,-0.1,2.8,5.0,7.8,1.9,3.2,5.1,5.1
Logisticians,13-1081,Line item,241.0,281.3,40.3,16.7,2.5,6.0,8.6,6.6,15.8,22.4,26.4
Project management specialists,13-1082,Line item,1046.3,1105.0,58.7,5.6,2.3,4.4,6.7,25.0,47.4,72.4,78.2
Management analysts,13-1111,Line item,1075.1,1169.7,94.5,8.8,3.5,4.4,7.9,38.9,49.8,88.7,98.1
"Meeting, convention, and event planners",13-1121,Line item,155.8,163.3,7.5,4.8,3.6,5.7,9.3,5.7,9.1,14.8,15.5
Fundraisers,13-1131,Line item,134.4,140.2,5.8,4.3,3.0,4.1,7.0,4.1,5.6,9.7,10.2
"Compensation, benefits, and job analysis specialists",13-1141,Line item,107.0,112.7,5.6,5.3,2.9,4.3,7.2,3.2,4.7,7.9,8.5
Training and development specialists,13-1151,Line item,452.3,501.0,48.7,10.8,3.0,5.2,8.2,14.3,24.8,39.1,43.9
Market research analysts and marketing specialists,13-1161,Line item,941.7,1004.7,63.0,6.7,2.8,5.5,8.3,27.4,53.5,80.9,87.2
"Business operations specialists, all other",13-1199,Line item,1205.7,1242.0,36.3,3.0,3.4,5.1,8.5,41.8,62.8,104.6,108.2
Accountants and auditors,13-2011,Line item,1579.8,1652.6,72.8,4.6,3.1,4.2,7.2,49.7,67.2,116.9,124.2
Property appraisers and assessors,13-2020,Line item,77.3,80.2,2.9,3.8,4.5,3.1,7.6,3.5,2.4,6.0,6.3
Budget analysts,13-2031,Line item,50.4,51.0,0.5,1.0,2.2,3.8,6.0,1.1,1.9,3.0,3.1
Credit analysts,13-2041,Line item,67.8,64.8,-3.0,-4.4,1.9,4.2,6.1,1.2,2.8,4.0,3.7
Financial and investment analysts,13-2051,Line item,368.5,389.6,21.1,5.7,2.1,4.0,6.1,7.9,15.1,23.0,25.1
Personal financial advisors,13-2052,Line item,326.0,357.2,31.2,9.6,2.8,3.3,6.1,9.6,11.3,21.0,24.1
Insurance underwriters,13-2053,Line item,127.0,123.7,-3.3,-2.6,3.1,3.7,6.8,3.9,4.7,8.6,8.2
Financial risk specialists,13-2054,Line item,60.5,64.4,3.9,6.5,2.8,4.2,7.1,1.8,2.6,4.4,4.8
Financial examiners,13-2061,Line item,65.1,77.2,12.1,18.5,3.3,3.1,6.3,2.3,2.2,4.5,5.7
Credit counselors,13-2071,Line item,31.8,32.9,1.1,3.3,2.7,3.8,6.5,0.9,1.2,2.1,2.2
Loan officers,13-2072,Line item,301.4,306.5,5.0,1.7,2.7,3.8,6.5,8.1,11.7,19.8,20.3
"Tax examiners and collectors, and revenue agents",13-2081,Line item,57.6,56.5,-1.0,-1.8,3.7,4.0,7.7,2.1,2.3,4.4,4.3
Tax preparers,13-2082,Line item,90.6,94.7,4.1,4.5,5.1,5.6,10.8,4.7,5.2,10.0,10.4
"Financial specialists, all other",13-2099,Line item,137.1,141.4,4.3,3.1,2.8,4.2,7.1,4.0,5.9,9.8,10.3
Computer systems analysts,15-1211,Line item,521.1,566.5,45.5,8.7,2.5,2.9,5.5,13.8,15.9,29.7,34.2
Information security analysts,15-1212,Line item,182.8,234.9,52.1,28.5,1.8,3.4,5.2,3.7,7.0,10.8,16.0
Computer and information research scientists,15-1221,Line item,40.3,48.3,7.9,19.7,1.7,3.7,5.4,0.8,1.6,2.4,3.2
Computer network support specialists,15-1231,Line item,152.7,155.5,2.8,1.8,2.4,3.7,6.1,3.7,5.7,9.4,9.6
Computer user support specialists,15-1232,Line item,729.5,702.5,-27.0,-3.7,2.4,3.7,6.1,17.3,26.3,43.5,40.8
Computer network architects,15-1241,Line item,179.2,200.6,21.4,11.9,1.7,3.1,4.8,3.2,5.8,9.0,11.2
Database administrators,15-1242,Line item,78.0,77.5,-0.5,-0.7,2.1,2.8,4.9,1.6,2.2,3.8,3.8
Database architects,15-1243,Line item,66.9,72.7,5.8,8.7,2.1,2.8,4.9,1.5,2.0,3.4,4.0
Network and computer systems administrators,15-1244,Line item,331.5,317.7,-13.8,-4.2,1.9,2.9,4.8,6.1,9.5,15.7,14.3
Computer programmers,15-1251,Line item,121.2,113.9,-7.2,-6.0,2.2,3.0,5.3,2.6,3.6,6.2,5.5
Software developers,15-1252,Line item,1693.8,1961.4,267.7,15.8,1.7,3.2,4.8,30.7,57.7,88.4,115.2
Software quality assurance analysts and testers,15-1253,Line item,201.7,221.9,20.2,10.0,2.4,3.3,5.7,5.0,7.0,12.0,14.0
Web developers,15-1254,Line item,86.0,92.5,6.5,7.5,1.9,3.5,5.4,1.7,3.1,4.8,5.4
Web and digital interface designers,15-1255,Line item,128.9,137.9,9.0,7.0,2.4,3.7,6.1,3.2,4.9,8.2,9.1
"Computer occupations, all other",15-1299,Line item,472.0,510.5,38.5,8.2,2.3,3.2,5.6,11.5,15.9,27.4,31.3
Actuaries,15-2011,Line item,33.6,40.9,7.3,21.8,1.8,2.6,4.4,0.7,1.0,1.6,2.4
Mathematicians,15-2021,Line item,2.4,2.4,0.0,-0.7,2.0,3.2,5.3,0.0,0.1,0.1,0.1
Operations research analysts,15-2031,Line item,112.1,136.2,24.1,21.5,3.1,2.7,5.8,3.9,3.3,7.2,9.6
Statisticians,15-2041,Line item,32.2,34.9,2.7,8.5,2.0,3.2,5.3,0.7,1.1,1.8,2.0
Data scientists,15-2051,Line item,245.9,328.3,82.5,33.5,2.0,3.2,5.3,5.8,9.3,15.1,23.4
"Mathematical science occupations, all other",15-2099,Line item,5.0,5.2,0.2,4.0,2.0,3.2,5.3,0.1,0.2,0.3,0.3
"Architects, except landscape and naval",17-1011,Line item,123.6,128.4,4.8,3.9,2.5,3.3,5.8,3.1,4.2,7.3,7.8
Landscape architects,17-1012,Line item,21.8,22.6,0.8,3.5,3.4,4.0,7.3,0.7,0.9,1.6,1.7
Cartographers and photogrammetrists,17-1021,Line item,13.4,14.3,0.9,6.4,3.4,3.1,6.4,0.5,0.4,0.9,1.0
Surveyors,17-1022,Line item,56.1,58.6,2.5,4.4,3.4,3.1,6.4,1.9,1.8,3.7,3.9
Aerospace engineers,17-2011,Line item,71.6,75.9,4.4,6.1,2.4,3.1,5.5,1.8,2.3,4.1,4.5
Agricultural engineers,17-2021,Line item,1.7,1.8,0.1,5.9,2.0,3.4,5.4,0.0,0.1,0.1,0.1
Bioengineers and biomedical engineers,17-2031,Line item,22.2,23.3,1.1,5.2,2.0,3.4,5.4,0.5,0.8,1.2,1.3
Chemical engineers,17-2041,Line item,21.6,22.1,0.6,2.6,1.6,3.2,4.8,0.4,0.7,1.1,1.1
Civil engineers,17-2051,Line item,368.9,387.5,18.5,5.0,2.1,3.7,5.8,7.8,14.0,21.8,23.6
Computer hardware engineers,17-2061,Line item,76.8,82.4,5.6,7.3,2.0,3.2,5.2,1.6,2.6,4.2,4.7
Electrical engineers,17-2071,Line item,192.0,205.7,13.8,7.2,2.2,3.0,5.2,4.4,5.9,10.4,11.7
"Electronics engineers, except computer",17-2072,Line item,95.9,101.8,6.0,6.2,2.2,3.0,5.2,2.2,2.9,5.2,5.7
Environmental engineers,17-2081,Line item,39.4,41.0,1.5,3.9,3.2,3.8,7.0,1.3,1.5,2.8,3.0
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,23.8,24.9,1.1,4.4,2.2,3.6,5.8,0.5,0.9,1.4,1.5
Industrial engineers,17-2112,Line item,351.1,389.6,38.5,11.0,2.2,3.6,5.8,8.0,13.4,21.4,25.2
Marine engineers and naval architects,17-2121,Line item,8.5,9.0,0.5,5.8,2.7,3.9,6.6,0.2,0.3,0.6,0.6
Materials engineers,17-2131,Line item,23.0,24.3,1.3,5.7,2.5,3.1,5.6,0.6,0.7,1.3,1.5
Mechanical engineers,17-2141,Line item,293.1,319.6,26.5,9.1,1.9,3.2,5.1,5.8,9.7,15.5,18.1
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,7.0,7.0,0.0,0.7,2.0,4.0,6.0,0.1,0.3,0.4,0.4
Nuclear engineers,17-2161,Line item,15.4,15.3,-0.2,-1.1,2.3,3.3,5.6,0.4,0.5,0.9,0.8
Petroleum engineers,17-2171,Line item,19.6,19.8,0.2,1.3,2.0,4.0,6.0,0.4,0.8,1.2,1.2
"Engineers, all other",17-2199,Line item,158.8,162.1,3.3,2.1,2.3,3.3,5.6,3.7,5.3,9.0,9.3
Architectural and civil drafters,17-3011,Line item,110.5,115.1,4.6,4.1,3.8,4.6,8.4,4.3,5.2,9.5,10.0
Electrical and electronics drafters,17-3012,Line item,21.6,20.4,-1.2,-5.6,3.4,5.1,8.5,0.7,1.1,1.8,1.7
Mechanical drafters,17-3013,Line item,42.9,40.1,-2.8,-6.5,3.4,5.1,8.5,1.4,2.1,3.5,3.3
"Drafters, all other",17-3019,Line item,17.1,15.9,-1.2,-6.9,3.4,5.1,8.5,0.6,0.8,1.4,1.3
Aerospace engineering and operations technologists and technicians,17-3021,Line item,9.3,10.1,0.8,8.1,3.2,5.0,8.3,0.3,0.5,0.8,0.9
Civil engineering technologists and technicians,17-3022,Line item,64.9,66.2,1.4,2.1,3.2,5.0,8.3,2.1,3.3,5.4,5.5
Electrical and electronic engineering technologists and technicians,17-3023,Line item,93.7,94.3,0.6,0.6,3.8,5.0,8.8,3.6,4.7,8.3,8.4
Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,15.0,15.1,0.2,1.1,3.2,5.0,8.3,0.5,0.8,1.2,1.3
Environmental engineering technologists and technicians,17-3025,Line item,12.9,13.0,0.1,1.2,3.2,5.0,8.3,0.4,0.7,1.1,1.1
Industrial engineering technologists and technicians,17-3026,Line item,74.6,75.9,1.3,1.7,3.2,5.0,8.3,2.4,3.8,6.2,6.3
Mechanical engineering technologists and technicians,17-3027,Line item,38.3,38.3,0.0,0.0,3.2,5.0,8.3,1.2,1.9,3.2,3.2
Calibration technologists and technicians,17-3028,Line item,15.8,16.5,0.7,4.7,3.2,5.0,8.3,0.5,0.8,1.3,1.4
"Engineering technologists and technicians, except drafters, all other",17-3029,Line item,67.3,68.3,1.0,1.5,3.2,5.0,8.3,2.2,3.4,5.6,5.7
Surveying and mapping technicians,17-3031,Line item,59.4,62.1,2.7,4.5,3.6,8.5,12.1,2.2,5.2,7.4,7.6
Animal scientists,19-1011,Line item,2.8,2.9,0.2,5.8,1.5,5.8,7.3,0.0,0.2,0.2,0.2
Food scientists and technologists,19-1012,Line item,15.2,16.2,1.0,6.5,1.5,5.8,7.3,0.2,0.9,1.1,1.2
Soil and plant scientists,19-1013,Line item,20.7,21.8,1.1,5.4,1.5,5.8,7.3,0.3,1.2,1.6,1.7
Biochemists and biophysicists,19-1021,Line item,35.6,37.6,2.1,5.8,2.0,5.5,7.4,0.7,2.0,2.7,2.9
Microbiologists,19-1022,Line item,20.7,21.6,0.8,4.1,2.0,5.5,7.4,0.4,1.2,1.6,1.7
Zoologists and wildlife biologists,19-1023,Line item,18.2,18.5,0.3,1.6,2.0,5.5,7.4,0.4,1.0,1.4,1.4
"Biological scientists, all other",19-1029,Line item,63.7,64.5,0.8,1.2,2.0,5.5,7.4,1.3,3.5,4.8,4.8
Conservation scientists,19-1031,Line item,28.5,29.5,1.0,3.4,2.5,5.6,8.1,0.7,1.6,2.4,2.5
Foresters,19-1032,Line item,13.8,14.0,0.2,1.2,2.5,5.6,8.1,0.3,0.8,1.1,1.1
Epidemiologists,19-1041,Line item,12.3,14.3,2.0,16.2,1.4,3.4,4.7,0.2,0.4,0.6,0.8
"Medical scientists, except epidemiologists",19-1042,Line item,165.3,179.6,14.3,8.7,1.4,3.4,4.7,2.3,5.8,8.1,9.6
"Life scientists, all other",19-1099,Line item,7.8,8.1,0.3,3.7,1.4,3.4,4.7,0.1,0.3,0.4,0.4
Astronomers,19-2011,Line item,1.8,1.8,0.0,2.2,2.4,3.8,6.2,0.0,0.1,0.1,0.1
Physicists,19-2012,Line item,24.6,25.6,1.0,4.0,2.4,3.8,6.2,0.6,1.0,1.6,1.7
Atmospheric and space scientists,19-2021,Line item,9.4,9.5,0.1,0.7,1.8,5.8,7.6,0.2,0.5,0.7,0.7
Chemists,19-2031,Line item,86.8,91.0,4.3,4.9,1.6,5.0,6.6,1.5,4.4,5.9,6.3
Materials scientists,19-2032,Line item,8.7,9.1,0.4,4.9,1.6,5.0,6.6,0.1,0.4,0.6,0.6
"Environmental scientists and specialists, including health",19-2041,Line item,90.3,94.3,4.0,4.4,2.0,6.8,8.8,1.8,6.3,8.1,8.5
"Geoscientists, except hydrologists and geographers",19-2042,Line item,25.1,26.0,0.8,3.2,1.9,5.6,7.5,0.5,1.4,1.9,2.0
Hydrologists,19-2043,Line item,6.3,6.3,0.0,-0.1,1.9,5.6,7.5,0.1,0.3,0.5,0.5
"Physical scientists, all other",19-2099,Line item,31.9,32.1,0.2,0.6,1.6,4.5,6.1,0.5,1.5,1.9,2.0
Economists,19-3011,Line item,17.6,17.8,0.2,1.2,1.5,3.7,5.2,0.3,0.7,0.9,0.9
Survey researchers,19-3022,Line item,8.8,8.3,-0.5,-5.2,2.0,6.2,8.2,0.2,0.5,0.7,0.7
Industrial-organizational psychologists,19-3032,Line item,5.6,5.9,0.3,6.3,3.7,2.7,6.4,0.2,0.2,0.4,0.4
Clinical and counseling psychologists,19-3033,Line item,76.3,84.8,8.5,11.2,2.7,2.2,4.9,2.2,1.8,3.9,4.8
School psychologists,19-3034,Line item,67.2,67.7,0.5,0.7,2.2,3.4,5.6,1.5,2.3,3.8,3.8
"Psychologists, all other",19-3039,Line item,55.3,57.7,2.4,4.3,3.7,2.7,6.4,2.1,1.5,3.6,3.9
Sociologists,19-3041,Line item,3.4,3.6,0.1,3.6,2.0,6.2,8.2,0.1,0.2,0.3,0.3
Urban and regional planners,19-3051,Line item,44.7,46.2,1.5,3.4,1.8,5.3,7.1,0.8,2.4,3.3,3.4
Anthropologists and archeologists,19-3091,Line item,8.8,9.2,0.3,3.7,2.0,6.2,8.2,0.2,0.6,0.7,0.8
Geographers,19-3092,Line item,1.5,1.5,0.0,-3.1,2.0,6.2,8.2,0.0,0.1,0.1,0.1
Historians,19-3093,Line item,3.4,3.5,0.1,2.2,2.0,6.2,8.2,0.1,0.2,0.3,0.3
Political scientists,19-3094,Line item,6.5,6.3,-0.2,-3.1,2.0,6.2,8.2,0.1,0.4,0.5,0.5
"Social scientists and related workers, all other",19-3099,Line item,40.8,40.1,-0.7,-1.7,2.0,6.2,8.2,0.8,2.5,3.3,3.2
Agricultural technicians,19-4012,Line item,18.6,19.4,0.8,4.3,2.1,12.8,14.9,0.4,2.4,2.8,2.9
Food science technicians,19-4013,Line item,20.4,21.3,1.0,4.8,2.1,12.8,14.9,0.4,2.7,3.1,3.2
Biological technicians,19-4021,Line item,82.7,85.6,2.9,3.5,2.0,8.4,10.4,1.7,7.1,8.8,9.1
Chemical technicians,19-4031,Line item,57.0,59.0,2.1,3.7,1.8,9.4,11.3,1.1,5.5,6.5,6.7
"Environmental science and protection technicians, including health",19-4042,Line item,40.4,42.1,1.6,4.0,2.2,11.0,13.2,0.9,4.5,5.4,5.6
"Geological technicians, except hydrologic technicians",19-4043,Line item,9.8,10.0,0.1,1.5,2.2,11.0,13.2,0.2,1.1,1.3,1.3
Hydrologic technicians,19-4044,Line item,3.1,3.0,-0.1,-2.1,2.2,11.0,13.2,0.1,0.3,0.4,0.4
Nuclear technicians,19-4051,Line item,6.0,5.5,-0.5,-7.7,2.2,11.0,13.2,0.1,0.6,0.8,0.7
Social science research assistants,19-4061,Line item,40.6,42.3,1.8,4.4,2.3,9.8,12.2,1.0,4.1,5.0,5.2
Forest and conservation technicians,19-4071,Line item,33.8,32.7,-1.1,-3.2,2.3,9.8,12.2,0.8,3.3,4.0,3.9
Forensic science technicians,19-4092,Line item,20.7,23.3,2.6,12.8,2.3,9.8,12.2,0.5,2.2,2.7,2.9
"Life, physical, and social science technicians, all other",19-4099,Line item,83.2,86.2,2.9,3.5,2.3,9.8,12.2,2.0,8.3,10.3,10.6
Occupational health and safety specialists,19-5011,Line item,131.9,148.4,16.5,12.5,1.9,7.6,9.4,2.6,10.6,13.2,14.9
Occupational health and safety technicians,19-5012,Line item,31.9,34.6,2.7,8.5,1.9,7.6,9.4,0.6,2.5,3.1,3.4
"Educational, guidance, and career counselors and advisors",21-1012,Line item,376.3,389.6,13.3,3.5,3.3,4.4,7.7,12.8,16.8,29.6,31.0
Marriage and family therapists,21-1013,Line item,77.8,87.7,9.8,12.6,4.4,3.7,8.1,3.7,3.0,6.7,7.7
Rehabilitation counselors,21-1015,Line item,91.9,93.2,1.3,1.4,5.3,5.4,10.6,4.9,5.0,9.8,10.0
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,483.5,564.6,81.0,16.8,3.3,4.4,7.7,17.2,23.0,40.2,48.3
"Counselors, all other",21-1019,Line item,69.1,77.8,8.7,12.6,3.9,5.0,9.0,2.9,3.7,6.6,7.4
"Child, family, and school social workers",21-1021,Line item,399.9,413.3,13.4,3.4,3.8,4.5,8.3,15.5,18.2,33.7,35.1
Healthcare social workers,21-1022,Line item,193.2,208.1,14.8,7.7,3.7,4.8,8.4,7.3,9.6,17.0,18.4
Mental health and substance abuse social workers,21-1023,Line item,136.8,150.1,13.3,9.7,4.7,3.8,8.5,6.8,5.4,12.2,13.5
"Social workers, all other",21-1029,Line item,81.0,84.1,3.1,3.9,3.3,4.7,8.1,2.7,3.9,6.6,7.0
Health education specialists,21-1091,Line item,71.8,75.0,3.2,4.5,4.6,5.8,10.3,3.4,4.2,7.6,7.9
Probation officers and correctional treatment specialists,21-1092,Line item,92.3,94.8,2.4,2.6,2.9,5.3,8.2,2.7,5.0,7.7,7.9
Social and human service assistants,21-1093,Line item,449.6,478.5,28.9,6.4,4.3,5.9,10.3,20.2,27.5,47.7,50.6
Community health workers,21-1094,Line item,65.1,72.5,7.4,11.3,4.6,5.8,10.3,3.2,4.0,7.1,7.8
"Community and social service specialists, all other",21-1099,Line item,119.2,124.7,5.5,4.6,4.6,5.8,10.3,5.6,7.0,12.6,13.1
Clergy,21-2011,Line item,262.0,264.6,2.6,1.0,4.5,4.1,8.6,11.9,10.8,22.7,23.0
"Directors, religious activities and education",21-2021,Line item,138.9,141.8,2.9,2.1,4.5,5.2,9.7,6.3,7.3,13.6,13.8
"Religious workers, all other",21-2099,Line item,88.4,89.0,0.6,0.6,6.7,5.7,12.5,6.0,5.1,11.1,11.1
Lawyers,23-1011,Line item,864.8,900.7,35.9,4.1,1.8,1.4,3.2,15.7,12.2,27.9,31.5
Judicial law clerks,23-1012,Line item,14.5,14.9,0.4,2.5,2.4,4.4,6.8,0.4,0.6,1.0,1.0
"Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,17.5,17.4,-0.1,-0.7,1.8,1.4,3.2,0.3,0.2,0.6,0.5
"Arbitrators, mediators, and conciliators",23-1022,Line item,9.1,9.5,0.4,4.3,1.8,1.4,3.2,0.2,0.1,0.3,0.3
"Judges, magistrate judges, and magistrates",23-1023,Line item,27.3,28.0,0.7,2.5,1.8,1.4,3.2,0.5,0.4,0.9,0.9
Paralegals and legal assistants,23-2011,Line item,376.2,376.8,0.6,0.2,3.2,7.2,10.4,12.0,27.2,39.2,39.3
"Title examiners, abstractors, and searchers",23-2093,Line item,57.4,58.5,1.1,2.0,3.0,6.2,9.2,1.7,3.6,5.3,5.4
"Legal support workers, all other",23-2099,Line item,51.3,50.7,-0.6,-1.2,3.2,6.2,9.4,1.6,3.2,4.8,4.7
"Business teachers, postsecondary",25-1011,Line item,103.1,109.0,5.8,5.7,3.9,3.2,7.1,4.1,3.4,7.6,8.1
"Computer science teachers, postsecondary",25-1021,Line item,44.8,47.2,2.4,5.3,3.9,3.2,7.1,1.8,1.5,3.3,3.5
"Mathematical science teachers, postsecondary",25-1022,Line item,58.9,60.2,1.3,2.3,3.9,3.2,7.1,2.3,1.9,4.2,4.4
"Architecture teachers, postsecondary",25-1031,Line item,11.6,11.9,0.2,2.0,3.9,3.2,7.1,0.5,0.4,0.8,0.9
"Engineering teachers, postsecondary",25-1032,Line item,50.3,54.4,4.1,8.1,3.9,3.2,7.1,2.0,1.7,3.7,4.1
"Agricultural sciences teachers, postsecondary",25-1041,Line item,10.7,11.2,0.4,4.1,3.9,3.2,7.1,0.4,0.4,0.8,0.8
"Biological science teachers, postsecondary",25-1042,Line item,66.0,70.8,4.8,7.3,3.9,3.2,7.1,2.7,2.2,4.9,5.4
"Forestry and conservation science teachers, postsecondary",25-1043,Line item,1.6,1.7,0.1,4.0,3.9,3.2,7.1,0.1,0.1,0.1,0.1
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,14.0,14.4,0.4,2.6,3.9,3.2,7.1,0.6,0.5,1.0,1.0
"Chemistry teachers, postsecondary",25-1052,Line item,25.4,26.0,0.6,2.2,3.9,3.2,7.1,1.0,0.8,1.8,1.9
"Environmental science teachers, postsecondary",25-1053,Line item,9.0,9.3,0.3,2.9,3.9,3.2,7.1,0.4,0.3,0.7,0.7
"Physics teachers, postsecondary",25-1054,Line item,17.1,17.5,0.4,2.5,3.9,3.2,7.1,0.7,0.6,1.2,1.3
"Anthropology and archeology teachers, postsecondary",25-1061,Line item,6.5,6.7,0.2,2.7,3.9,3.2,7.1,0.3,0.2,0.5,0.5
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,14.5,14.8,0.3,2.4,3.9,3.2,7.1,0.6,0.5,1.0,1.1
"Economics teachers, postsecondary",25-1063,Line item,15.8,16.1,0.3,2.1,3.9,3.2,7.1,0.6,0.5,1.1,1.2
"Geography teachers, postsecondary",25-1064,Line item,4.0,4.2,0.1,3.3,3.9,3.2,7.1,0.2,0.1,0.3,0.3
"Political science teachers, postsecondary",25-1065,Line item,21.8,22.2,0.4,2.0,3.9,3.2,7.1,0.9,0.7,1.6,1.6
"Psychology teachers, postsecondary",25-1066,Line item,52.5,54.4,1.9,3.6,3.9,3.2,7.1,2.1,1.7,3.8,4.0
"Sociology teachers, postsecondary",25-1067,Line item,15.4,15.7,0.3,2.1,3.9,3.2,7.1,0.6,0.5,1.1,1.1
"Social sciences teachers, postsecondary, all other",25-1069,Line item,20.7,21.1,0.4,1.7,3.9,3.2,7.1,0.8,0.7,1.5,1.5
"Health specialties teachers, postsecondary",25-1071,Line item,289.6,339.7,50.1,17.3,3.9,3.2,7.1,12.2,10.2,22.4,27.4
"Nursing instructors and teachers, postsecondary",25-1072,Line item,91.6,106.9,15.3,16.8,3.9,3.2,7.1,3.9,3.2,7.1,8.6
"Education teachers, postsecondary",25-1081,Line item,74.9,76.5,1.6,2.1,3.9,3.2,7.1,2.9,2.5,5.4,5.6
"Library science teachers, postsecondary",25-1082,Line item,5.1,5.3,0.2,3.0,3.9,3.2,7.1,0.2,0.2,0.4,0.4
"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.2,16.5,0.3,2.0,3.9,3.2,7.1,0.6,0.5,1.2,1.2
"Law teachers, postsecondary",25-1112,Line item,29.5,30.2,0.6,2.2,3.9,3.2,7.1,1.2,1.0,2.1,2.2
